producto,precioUnitario,talla,cantidad,vendedor,fecha,total
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,L,4.0,Kylian Mbappé,2026-02-13,1428000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,L,5.0,LEO MESSI,2026-02-06,1025000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XXXL,2.0,Sadio Mané,18/01/2026,714000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,XL,-1.0,Virgil van Dijk,2026-01-22,450000
Camiseta Polo M/C,98000.0,XL,5.0,CRISTIANO RONALDO,2026-01-31,490000
 Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón ,200000.0,XL,3.0,Leo Messi,2026-02-24,600000
Camiseta Polo M/C,98000.0,L,2.0,Virgil van Dijk,2026-02-14,196000
jean de hombre rider skinny fit tiro bajo lavado medio rotos detalles en costuras en mezcla de algodón,357000.0,M,3.0,Sadio Mané,2026-02-12,1071000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XXXL,0.0,Virgil van Dijk,2026-01-13,1785000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,M,5.0,Virgil van Dijk,07/02/2026,3400000
Camiseta Polo M/C,98000.0,XXXL,1.0,EDEN HAZARD,2026-01-23,98000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,medio,5.0,Virgil van Dijk,2026-01-28,4100000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,medio,4.0,Eden Hazard,2026-03-01,1428000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XXXL,5.0,MOHAMED SALAH,2026-01-20,1785000
 Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón ,150000.0,S,3.0,Mohamed Salah,2026-01-31,450000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,medio,3.0,Kevin De Bruyne,2026-02-22,1470000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,XXXL,2.0,Virgil van Dijk,2026-01-12,400000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,S,-1.0,Mohamed Salah,2026-02-28,1960000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,,XXXL,5.0,Virgil van Dijk,2026-02-09,7500000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,M,2.0,VIRGIL VAN DIJK,2026-02-21,400000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XXXL,4.0,LEO MESSI,2026-01-21,3280000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,XL,0.0,Cristiano Ronaldo,2026-01-23,110000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,medio,3.0,Kylian Mbappé,2026-01-19,2460000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,XXL,3.0,NEYMAR JR,2026-02-05,600000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,L,-1.0,Virgil van Dijk,2026-01-28,1500000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,,L,4.0,Sadio Mané,2026-01-02,800000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XS,-1.0,Kylian Mbappé,2026-02-09,2460000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,XS,1.0,Mohamed Salah,17/01/2026,1500000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,S,4.0,Cristiano Ronaldo,2026-01-21,4299
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,,L,4.0,Neymar Jr,2026-01-21,800000
Camiseta Polo M/C,98000.0,S,3.0,KYLIAN MBAPPÉ,2026-02-02,294000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,,XL,2.0,Neymar Jr,2026-02-25,3000000
camiseta polo m/c,98000.0,XXL,1.0,Kylian Mbappé,2026-02-24,98000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,S,-1.0,Mohamed Salah,2026-01-11,4500000
camisa polo de hombre classic fit cuello nerú manga corta textura piqué jacquard en algodón,200000.0,M,2.0,Mohamed Salah,2026-01-02,400000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,M,4.0,Kylian Mbappé,2026-02-22,600000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,,L,1.0,Virgil van Dijk,2026-02-23,1500000
 Camiseta Polo M/C ,98000.0,XXL,3.0,Leo Messi,2026-02-28,294000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,medio,2.0,Kevin De Bruyne,2026-02-21,400000
 Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster ,680000.0,XXXL,2.0,Sadio Mané,2026-02-02,1360000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XL,3.0,Eden Hazard,11/01/2026,2460000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,S,,Sadio Mané,2026-02-08,490000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,medio,3.0,Cristiano Ronaldo,2026-02-25,1470000
Camiseta Polo M/C,98000.0,XS,4.0,KYLIAN MBAPPÉ,2026-02-25,392000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,,S,5.0,Kylian Mbappé,2026-02-26,2450000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,XS,4.0,Leo Messi,2026-02-13,800000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,,L,2.0,Virgil van Dijk,2026-01-10,410000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,medio,5.0,Cristiano Ronaldo,2026-02-21,1785000
 Camiseta Polo M/C ,98000.0,XXL,5.0,Eden Hazard,2026-02-07,490000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,M,3.0,Kylian Mbappé,2026-02-19,600000
jean de hombre rider skinny fit tiro bajo lavado medio rotos detalles en costuras en mezcla de algodón,357000.0,XXXL,2.0,Neymar Jr,2026-02-04,714000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,M,5.0,Kylian Mbappé,25/01/2026,550000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,XXL,3.0,Mohamed Salah,2026-02-11,2635
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,medio,1.0,Sadio Mané,2026-01-12,820000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,,XS,5.0,Sadio Mané,2026-02-05,1000000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,XL,1.0,Eden Hazard,2026-03-01,110000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,,L,1.0,Kylian Mbappé,2026-02-21,200000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XL,,Virgil van Dijk,2026-01-12,615000
 Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón ,200000.0,XXXL,5.0,Kevin De Bruyne,2026-02-27,1000000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,M,,Virgil van Dijk,2026-02-25,1785000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,,S,5.0,Neymar Jr,2026-02-12,2450000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XS,4.0,MOHAMED SALAH,2026-01-30,3280000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,S,0.0,Kylian Mbappé,2026-02-14,4100000
 Chaqueta Tipo Trucker en Denim para Hombre ,820000.0,XS,5.0,Kevin De Bruyne,2026-02-06,4100000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,M,5.0,SADIO MANÉ,2026-01-08,3400000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XS,4.0,Sadio Mané,2026-03-01,4907
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,L,3.0,Kevin De Bruyne,2026-02-27,2742
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XS,0.0,Kylian Mbappé,2026-02-27,4100000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,L,3.0,Virgil van Dijk,2026-02-13,4500000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XXL,5.0,Virgil van Dijk,29/01/2026,4100000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,S,5.0,NEYMAR JR,2026-02-15,1000000
 Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón ,150000.0,XS,3.0,Eden Hazard,2026-01-25,450000
 Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón ,357000.0,XXXL,4.0,Mohamed Salah,2026-02-13,1428000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,medio,1.0,Neymar Jr,2026-02-07,150000
Camiseta Polo M/C,98000.0,XL,5.0,Kylian Mbappé,2026-01-28,4602
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XL,4.0,Cristiano Ronaldo,2026-03-01,3864
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XL,4.0,Kylian Mbappé,28/01/2026,3280000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,XS,4.0,Eden Hazard,2026-02-20,2720000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,XS,3.0,Virgil van Dijk,2026-01-07,4801
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,M,3.0,Cristiano Ronaldo,2026-01-14,1249
chaqueta de hombre bomber acolchada rombos y gráficos bordados en mezcla de algodón y poliéster,1500000.0,XXXL,4.0,Neymar Jr,2026-01-29,6000000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,medio,4.0,Kylian Mbappé,2026-01-27,800000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XXL,5.0,Cristiano Ronaldo,2026-02-07,4100000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,L,5.0,EDEN HAZARD,2026-01-16,4100000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,medio,1.0,Eden Hazard,2026-01-21,490000
 Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous ,490000.0,L,2.0,Virgil van Dijk,2026-02-02,980000
jean de hombre rider skinny fit tiro bajo lavado medio rotos detalles en costuras en mezcla de algodón,357000.0,XS,3.0,Kylian Mbappé,2026-01-17,1071000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,S,3.0,Sadio Mané,2026-01-19,2460000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XS,,Neymar Jr,2026-01-25,490000
 Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón ,150000.0,XXXL,2.0,Sadio Mané,2026-02-22,300000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,,XXXL,2.0,Neymar Jr,2026-01-05,400000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,XXXL,5.0,MOHAMED SALAH,2026-02-02,750000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,M,3.0,MOHAMED SALAH,2026-01-04,1470000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,M,5.0,Virgil van Dijk,27/02/2026,1000000
 Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón ,150000.0,XXL,3.0,Mohamed Salah,2026-01-05,450000
Camiseta Polo M/C,98000.0,medio,3.0,Kevin De Bruyne,2026-01-07,294000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XS,1.0,Neymar Jr,2026-02-18,357000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XS,4.0,Neymar Jr,12/02/2026,820000
 Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón ,357000.0,XXXL,4.0,Sadio Mané,2026-02-25,1428000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,L,3.0,CRISTIANO RONALDO,2026-01-20,330000
 Chaqueta Tipo Trucker en Denim para Hombre ,820000.0,S,3.0,Mohamed Salah,2026-02-28,2460000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,medio,1.0,Neymar Jr,2026-02-09,1500000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,medio,1.0,Cristiano Ronaldo,2026-02-13,110000
chaqueta de hombre bomber acolchada rombos y gráficos bordados en mezcla de algodón y poliéster,1500000.0,XS,2.0,Eden Hazard,2026-02-10,3000000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,S,,Kevin De Bruyne,2026-01-04,490000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,XXXL,0.0,Cristiano Ronaldo,2026-01-23,680000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,S,,Kylian Mbappé,2026-02-20,1640000
Camiseta Polo M/C,98000.0,XS,1.0,VIRGIL VAN DIJK,2026-01-02,98000
 Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster ,680000.0,XXL,4.0,Eden Hazard,2026-01-28,2720000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XXL,5.0,Eden Hazard,2026-02-11,4100000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XS,2.0,Kylian Mbappé,11/01/2026,1640000
 Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster ,680000.0,XL,1.0,Mohamed Salah,2026-01-03,680000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,medio,1.0,Virgil van Dijk,2026-02-26,150000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,S,2.0,Neymar Jr,02/01/2026,1640000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,M,2.0,Virgil van Dijk,2026-02-10,1160
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XL,5.0,Eden Hazard,2026-02-01,1488
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,medio,5.0,Eden Hazard,2026-02-05,1785000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,XS,1.0,Sadio Mané,2026-02-03,1779
Camiseta Polo M/C,98000.0,medio,4.0,Kevin De Bruyne,2026-01-27,392000
Camiseta Polo M/C,98000.0,L,-1.0,Kevin De Bruyne,2026-02-09,196000
 Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón ,110000.0,XL,1.0,Leo Messi,2026-01-02,110000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,medio,3.0,Leo Messi,2026-03-03,330000
chaqueta tipo trucker en denim para hombre,820000.0,S,1.0,Mohamed Salah,2026-02-16,820000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,XS,1.0,Kevin De Bruyne,21/02/2026,150000
 Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón ,357000.0,XXXL,2.0,Kevin De Bruyne,2026-02-22,714000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XXL,4.0,EDEN HAZARD,2026-02-20,820000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,,S,1.0,Neymar Jr,2026-02-07,200000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,XS,1.0,Cristiano Ronaldo,13/01/2026,680000
jean de hombre rider skinny fit tiro bajo lavado medio rotos detalles en costuras en mezcla de algodón,357000.0,XS,4.0,Sadio Mané,2026-03-02,1428000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,XXL,4.0,Virgil van Dijk,2026-02-01,4099
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XL,2.0,EDEN HAZARD,2026-02-09,714000
chaqueta de hombre bomber acolchada rombos y gráficos bordados en mezcla de algodón y poliéster,1500000.0,M,5.0,Kevin De Bruyne,2026-02-03,7500000
chaqueta de hombre doble faz cuello alto windbreaker bolsillo canguro en mezcla de algodón y poliéster,680000.0,XXXL,1.0,Kylian Mbappé,2026-02-02,680000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,L,3.0,Leo Messi,24/02/2026,615000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,XXL,5.0,Leo Messi,22/02/2026,1025000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,S,1.0,VIRGIL VAN DIJK,2026-02-02,490000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,medio,2.0,Mohamed Salah,2026-03-02,410000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,XS,4.0,Kevin De Bruyne,26/02/2026,6000000
Camiseta Polo M/C,98000.0,L,3.0,Virgil van Dijk,16/02/2026,294000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,M,3.0,Virgil van Dijk,09/01/2026,2460000
camisa polo de hombre slim fit cuello nerú manga corta sesgos en contraste en mezcla de algodón,110000.0,XS,2.0,Virgil van Dijk,2026-02-03,220000
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,medio,2.0,Kevin De Bruyne,2026-02-26,220000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,XXXL,3.0,Kylian Mbappé,2026-01-04,1470000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,L,1.0,Kylian Mbappé,2026-02-23,1194
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,medio,4.0,Sadio Mané,2026-03-02,3280000
Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón,357000.0,XXXL,1.0,SADIO MANÉ,2026-01-10,357000
Camiseta Polo M/C,98000.0,XXL,5.0,Neymar Jr,2026-01-23,3118
Camiseta Polo M/C,98000.0,L,2.0,Cristiano Ronaldo,2026-01-11,1746
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,L,-1.0,Kylian Mbappé,2026-02-03,205000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,XS,5.0,Mohamed Salah,2026-02-03,4563
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,,XXL,3.0,Kevin De Bruyne,2026-02-06,615000
 Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster ,680000.0,XXXL,4.0,Eden Hazard,2026-02-04,2720000
Camisa Polo de Hombre Slim Fit Manga Corta con Textura Bordado de Pato en Algodón,150000.0,XXXL,4.0,Mohamed Salah,2026-01-15,600000
Jean de Hombre Skinny Fit Tiro Medio Lavado Oscuro Clásico con Raspones en Mezcla de Algodón Famous,490000.0,M,2.0,MOHAMED SALAH,2026-01-19,980000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,M,1.0,Virgil van Dijk,07/02/2026,820000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,medio,4.0,Kylian Mbappé,2026-01-09,3280000
Camiseta Polo M/C,98000.0,XXL,2.0,MOHAMED SALAH,2026-02-10,196000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,,XXL,4.0,Kylian Mbappé,2026-02-03,2720000
Chaqueta de Hombre Doble Faz Cuello Alto Windbreaker Bolsillo Canguro en Mezcla de Algodón y Poliéster,680000.0,S,3.0,LEO MESSI,2026-01-27,2040000
 Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón ,200000.0,XXL,5.0,Neymar Jr,2026-02-27,1000000
Camisa Polo de Hombre Classic Fit Cuello Nerú Manga Corta Textura Piqué Jacquard en Algodón,200000.0,L,5.0,Cristiano Ronaldo,23/02/2026,1000000
Camiseta Polo M/C,,XS,4.0,Neymar Jr,2026-02-10,392000
Chaqueta de Hombre Bomber Acolchada Rombos y Gráficos Bordados en Mezcla de Algodón y Poliéster,1500000.0,XL,2.0,Sadio Mané,2026-02-18,1650
Camisa Polo de Hombre Slim Fit Cuello Nerú Manga Corta Sesgos en Contraste en Mezcla de Algodón,110000.0,XL,1.0,Mohamed Salah,2026-01-04,110000
 Jean de Hombre Rider Skinny Fit Tiro Bajo Lavado Medio Rotos Detalles en Costuras en Mezcla de Algodón ,357000.0,XL,2.0,Mohamed Salah,2026-03-03,714000
Chaqueta Tipo Trucker en Denim para Hombre,820000.0,XXXL,,Leo Messi,2026-02-10,3280000
chaqueta tipo trucker en denim para hombre,820000.0,S,4.0,Leo Messi,2026-02-22,3280000
Camisa Polo de Hombre Classic Fit Manga Larga Varsity con Cierre Efecto Desgaste en Algodón,205000.0,S,5.0,Virgil van Dijk,2026-01-08,2281
